ma_tin,tinh_thanh,loai_bat_dong_san,dien_tich_m2,so_phong_ngu,huong_nha,thang_dang_tin,nam_dang_tin,gia_ban_ty_vnd
BDS_1,Hà Nội,Đất nền,347,4,Tây Nam,11,2025,41.85
BDS_2,Bình Dương,Nhà mặt phố,108,4,Đông Nam,3,2025,9.06
BDS_3,TP. Hồ Chí Minh,Chung cư,214,1,Tây Bắc,8,2025,15.95
BDS_4,TP. Hồ Chí Minh,Đất nền,302,1,Chính Đông,10,2025,43.74
BDS_5,Hà Nội,Nhà mặt phố,307,2,Tây Bắc,3,2026,61.41
BDS_6,Hà Nội,Nhà mặt phố,308,4,Đông Nam,7,2025,35.86
BDS_7,Hà Nội,Chung cư,259,3,Chính Đông,2,2024,18.95
BDS_8,Đà Nẵng,Nhà mặt phố,75,4,Chính Đông,7,2025,4.98
BDS_9,TP. Hồ Chí Minh,Chung cư,78,5,Chính Nam,2,2024,6.22
BDS_10,TP. Hồ Chí Minh,Chung cư,227,4,Chính Đông,3,2025,9.83
BDS_11,Hà Nội,Biệt thự,141,3,Đông Nam,5,2025,31.38
BDS_12,Bình Dương,Nhà mặt phố,259,5,Tây Bắc,3,2026,35.5
BDS_13,Đà Nẵng,Nhà mặt phố,155,3,Tây Nam,1,2025,19.67
BDS_14,Hà Nội,Nhà mặt phố,304,2,Chính Đông,2,2024,55.09
BDS_15,Hà Nội,Chung cư,289,5,Tây Bắc,10,2025,11.72
BDS_16,Hà Nội,Đất nền,101,1,Tây Nam,5,2025,9.81
BDS_17,Hà Nội,Chung cư,341,1,Tây Nam,3,2026,14.88
BDS_18,TP. Hồ Chí Minh,Đất nền,249,3,Tây Nam,7,2025,23.97
BDS_19,TP. Hồ Chí Minh,Nhà mặt phố,320,5,Tây Nam,11,2024,27.45
BDS_20,Hà Nội,Chung cư,336,2,Chính Đông,1,2025,25.66
BDS_21,TP. Hồ Chí Minh,Chung cư,183,5,Tây Bắc,2,2024,8.03
BDS_22,Hà Nội,Đất nền,333,4,Chính Nam,3,2026,23.73
BDS_23,Hà Nội,Nhà mặt phố,189,2,Chính Nam,4,2024,23.74
BDS_24,Hà Nội,Nhà mặt phố,179,2,Chính Đông,11,2024,29.43
BDS_25,TP. Hồ Chí Minh,Chung cư,80,4,Tây Nam,2,2025,5.52
BDS_26,TP. Hồ Chí Minh,Đất nền,146,4,Chính Nam,7,2025,22.32
BDS_27,Hà Nội,Chung cư,241,2,Chính Nam,5,2024,12.73
BDS_28,TP. Hồ Chí Minh,Nhà mặt phố,43,5,Chính Đông,8,2024,6.65
BDS_29,TP. Hồ Chí Minh,Chung cư,30,4,Chính Nam,1,2026,2.53
BDS_30,Hà Nội,Chung cư,200,1,Chính Đông,1,2024,7.18
BDS_31,TP. Hồ Chí Minh,Nhà mặt phố,52,1,Tây Bắc,9,2024,8.4
BDS_32,Hà Nội,Chung cư,313,4,Tây Nam,3,2026,19.53
BDS_33,Hà Nội,Đất nền,179,5,Tây Nam,10,2024,10.7
BDS_34,Bình Dương,Nhà mặt phố,206,4,Tây Bắc,6,2024,17.4
BDS_35,Bình Dương,Đất nền,152,2,Tây Bắc,10,2024,10.15
BDS_36,Đà Nẵng,Chung cư,193,1,Tây Bắc,1,2025,8.66
BDS_37,Hà Nội,Chung cư,317,5,Tây Bắc,4,2024,19.06
BDS_38,Hà Nội,Nhà mặt phố,240,2,Chính Đông,12,2024,29.28
BDS_39,TP. Hồ Chí Minh,Chung cư,276,4,Tây Nam,3,2026,22.12
BDS_40,TP. Hồ Chí Minh,Nhà mặt phố,174,5,Tây Nam,7,2024,14.87
BDS_41,Hà Nội,Nhà mặt phố,210,1,Chính Đông,3,2024,30.29
BDS_42,TP. Hồ Chí Minh,Đất nền,337,5,Chính Đông,2,2024,29.37
BDS_43,Hà Nội,Chung cư,327,4,Đông Nam,3,2026,20.8
BDS_44,Thái Nguyên,Đất nền,143,3,Đông Nam,2,2025,8.18
BDS_45,Hà Nội,Nhà mặt phố,211,1,Đông Nam,7,2025,38.71
BDS_46,TP. Hồ Chí Minh,Nhà mặt phố,91,3,Chính Đông,8,2025,8.58
BDS_47,Hà Nội,Chung cư,53,1,Đông Nam,3,2026,3.06
BDS_48,TP. Hồ Chí Minh,Nhà mặt phố,86,5,Đông Nam,11,2025,18.32
BDS_49,TP. Hồ Chí Minh,Đất nền,112,4,Chính Đông,3,2026,8.25
BDS_50,Hà Nội,Đất nền,144,2,Tây Bắc,3,2025,10.9
BDS_51,Bình Dương,Chung cư,112,2,Tây Nam,10,2025,2.47
BDS_52,TP. Hồ Chí Minh,Nhà mặt phố,144,4,Tây Bắc,1,2025,26.4
BDS_53,Bình Dương,Chung cư,105,1,Tây Bắc,2,2026,4.84
BDS_54,Thái Nguyên,Đất nền,189,4,Đông Nam,3,2026,12.05
BDS_55,TP. Hồ Chí Minh,Nhà mặt phố,182,3,Tây Nam,10,2025,23.29
BDS_56,Bình Dương,Đất nền,93,5,Đông Nam,3,2026,4.91
BDS_57,Hà Nội,Nhà mặt phố,253,3,Tây Nam,3,2026,36.3
BDS_58,Hà Nội,Chung cư,33,3,Tây Nam,12,2025,1.27
BDS_59,Hà Nội,Nhà mặt phố,196,1,Chính Đông,5,2025,30.9
BDS_60,Hà Nội,Chung cư,159,4,Chính Đông,1,2025,10.91
BDS_61,Hà Nội,Chung cư,228,5,Tây Nam,6,2024,10.11
BDS_62,Hà Nội,Chung cư,113,1,Tây Nam,3,2025,5.88
BDS_63,Đà Nẵng,Đất nền,65,4,Chính Đông,3,2024,5.6
BDS_64,Hà Nội,Chung cư,217,2,Tây Nam,5,2025,14.1
BDS_65,Hà Nội,Đất nền,46,2,Chính Đông,8,2024,5.1
BDS_66,TP. Hồ Chí Minh,Chung cư,115,1,Chính Nam,3,2025,5.49
BDS_67,Hà Nội,Biệt thự,280,1,Tây Nam,7,2025,40.39
BDS_68,Đà Nẵng,Biệt thự,133,3,Tây Bắc,6,2025,21.0
BDS_69,Hà Nội,Chung cư,278,5,Tây Bắc,3,2026,22.48
BDS_70,Bình Dương,Biệt thự,345,5,Chính Nam,1,2025,61.19
BDS_71,TP. Hồ Chí Minh,Đất nền,325,4,Chính Nam,2,2026,25.97
BDS_72,Hà Nội,Chung cư,235,4,Đông Nam,8,2025,11.35
BDS_73,Hà Nội,Biệt thự,334,4,Chính Đông,4,2025,79.89
BDS_74,Đà Nẵng,Chung cư,341,2,Đông Nam,2,2024,15.81
BDS_75,TP. Hồ Chí Minh,Chung cư,295,3,Tây Bắc,7,2025,12.13
BDS_76,TP. Hồ Chí Minh,Nhà mặt phố,239,1,Tây Nam,8,2025,31.77
BDS_77,TP. Hồ Chí Minh,Chung cư,192,4,Chính Đông,8,2025,11.76
